,Start_interval,Lactose,Whey central,Whey west
106,2021-05-10,0.44334975369458135,0.645,0.64
107,2021-05-17,0.44334975369458135,0.64,0.6475
108,2021-05-24,0.44334975369458135,0.64,0.64125
109,2021-05-31,0.44334975369458135,0.6375,0.64125
110,2021-06-07,0.44334975369458135,0.62125,0.625
111,2021-06-14,0.44334975369458135,0.62,0.6325
112,2021-06-21,0.4482758620689656,0.595,0.62
113,2021-06-28,0.4482758620689656,0.595,0.6075
114,2021-07-05,0.4532019704433498,0.5675,0.5975
115,2021-07-12,0.4532019704433498,0.5475,0.5825
116,2021-07-19,0.4532019704433498,0.535,0.585
117,2021-07-26,0.4482758620689656,0.53,0.57875
118,2021-08-02,0.4482758620689656,0.50375,0.55875
119,2021-08-09,0.4482758620689656,0.50375,0.5525
120,2021-08-16,0.4482758620689656,0.50375,0.55375
121,2021-08-23,0.44334975369458135,0.4975,0.5525
122,2021-08-30,0.44334975369458135,0.495,0.5525
123,2021-09-06,0.43349753694581283,0.5,0.535
124,2021-09-13,0.43349753694581283,0.5,0.54
125,2021-09-20,0.43349753694581283,0.51,0.54
126,2021-09-27,0.43349753694581283,0.51,0.5575
127,2021-10-04,0.4285714285714286,0.5475,0.5575
128,2021-10-11,0.41871921182266014,0.565,0.56625
129,2021-10-18,0.4137931034482759,0.575,0.5675
130,2021-10-25,0.4088669950738916,0.59,0.5725
131,2021-11-01,0.4088669950738916,0.595,0.58875
132,2021-11-08,0.4088669950738916,0.605,0.595
133,2021-11-15,0.4064039408866995,0.6425,0.6225
134,2021-11-22,0.4064039408866995,0.6425,0.635
135,2021-11-29,0.3990147783251232,0.65125,0.645
136,2021-12-06,0.3990147783251232,0.65375,0.665
137,2021-12-13,0.3990147783251232,0.6625,0.67625
138,2021-12-20,0.3990147783251232,0.675,0.71625
139,2021-12-27,0.3990147783251232,0.6825,0.71625
140,2019-01-01,0.2857142857142857,0.34,0.34875
141,2020-01-06,0.2931034482758621,0.34,0.34875
142,2020-01-13,0.2931034482758621,0.345,0.35125
143,2020-01-20,0.2955665024630542,0.35375,0.35625
144,2020-01-27,0.2955665024630542,0.35375,0.35625
145,2020-02-03,0.29802955665024633,0.355,0.365
